机会名称,机会类型,机会类型分组,主办方,议题标签,主题分区,相关度,截止日期,会议日期,地点/线上,原网页链接,申请/投稿链接,参加条件,费用,是否有资助,资助说明链接,需要准备的材料,岗位类型,岗位职能,排除原因,行动优先级,状态,备注,发现日期,最近核查日期,链接指纹
29th IPSA World Congress of Political Science - Call for Panels / Call for Papers,学术年会,学术论坛/CFP,International Political Science Association,political science; governance; global system; international relations; comparative politics,国际关系/政治学,中,2026-08-26,2027-07-24至2027-07-28,待核查,https://wc2027.ipsa.org/wc/important-dates,https://wc2027.ipsa.org/wc/important-dates,Call for Panels 已开放；Call for Papers 将于2026-09-08开放；具体会员、投稿和注册要求待核查,待核查,是,https://wc2027.ipsa.org/wc/important-dates,Panel proposal 或 paper proposal；摘要、作者信息、关键词等具体要求待核查,,政策研究,,中,长期关注,主题为“Uncertain Democracies: Rethinking Governance in a Changing Global System”，适合国际关系、全球治理和政治学方向长期规划。,2026-07-10,2026-07-10,9dd0bd032bacf151
Policy Fellowship on The New Geopolitics of Global Governance,fellowship,Fellowship,"Global Development Institute, University of Manchester and BRICS Plus Thinking Initiative",global governance; AI and digital transition; debt; finance; climate; development,可持续发展/气候,高,2026-08-31,October 2026 to September 2027 or January 2027 to December 2027,"University of Manchester, United Kingdom; part-time equivalent engagement",https://blog.gdi.manchester.ac.uk/policy-fellowship-on-the-new-geopolitics-of-global-governance,https://blog.gdi.manchester.ac.uk/policy-fellowship-on-the-new-geopolitics-of-global-governance,Academic or researcher with a PhD and considerable postdoctoral expertise in global governance.,No application fee indicated.,Yes,https://blog.gdi.manchester.ac.uk/policy-fellowship-on-the-new-geopolitics-of-global-governance,Full CV and two-page research proposal submitted by email.,,Policy research,,高,值得申请,"Very strong thematic match across global governance, AI, debt, finance, climate and development.",2026-07-10,2026-07-10,40cac259c114f461
World Bank Group Pioneers Program - Winter/Fall Cycle 2026,internship,Internship,World Bank Group,国际发展;发展金融;经济学;环境;私营部门发展;世界银行,可持续发展/气候,高,2026-08-31 或待核查,Winter/Fall Cycle，具体实习日期待核查,"Washington, DC 和/或世界银行各地办公室；具体待核查",https://www.worldbank.org/ext/en/careers/talent-programs/wbg-pioneers,https://www.worldbank.org/ext/en/careers/talent-programs/wbg-pioneers,本科最后一年学生，或正在攻读硕士/博士；0-6年工作经验；英语流利；须为World Bank Group成员国公民,待核查,是,https://www.worldbank.org/ext/en/careers/talent-programs/wbg-pioneers,在线申请；具体岗位材料待核查,Internship,政策研究;项目支持;可持续发展;发展融资;战略研究,,高,值得申请,页面显示7-8月接受Winter/Fall Cycle申请，且为 paid internship，世界银行发展方向匹配度很高。,2026-07-10,2026-07-10,5d55156ac5b75f5e
ISA Dissertation Completion Fellowship 2026-2027,fellowship,Fellowship,International Studies Association,international studies; dissertation support; political science; international relations; graduate funding,国际关系/政治学,高,2026-09-01,2026-2027 fellowship year,Funding support; location depends on applicant project,https://www.isanet.org/ISA/Governance/Committees/Dissertation-Fellowship/Call,https://www.isanet.org/ISA/Governance/Committees/Dissertation-Fellowship/Call,"ISA graduate student member in later stages of a PhD programme, working on an international studies topic.",ISA membership required; application fee not indicated.,Yes,https://www.isanet.org/ISA/Governance/Committees/Dissertation-Fellowship/Call,"1000-1500 word proposal, one-page funding statement, one-page budget narrative, CV and advisor recommendation letter.",,Policy research,,中高,值得申请,High-value academic funding opportunity for international relations or global governance dissertation work.,2026-07-10,2026-07-10,979fd72ba9ff24b0
Sector Transition: UKRI Policy Fellowships 2026,policy fellowship,Fellowship,UK Research and Innovation,policy fellowship; evidence-informed policy; climate policy; AI-assisted evaluation; government-academia exchange,AI治理,中,2026-09-10,18个月,英国政策部门或相关host partner，具体以fellowship position为准,https://www.ukri.org/opportunity/sector-transition-ukri-policy-fellowships-2026,https://www.ukri.org/opportunity/sector-transition-ukri-policy-fellowships-2026,申请人需为持有博士或能证明同等研究经验的学者，并满足所在机构/host partner资格条件,待核查,是,https://www.ukri.org/opportunity/sector-transition-ukri-policy-fellowships-2026,项目summary、core team、vision、approach to co-design、applicant capability等Funding Service申请材料,,政策研究/气候/AI或数字治理/战略研究,,中高,新发现,含能源安全、气候政策评估和AI辅助政策评估等方向，适合有博士或同等研究经验者。,2026-07-10,2026-07-10,5fb2c3ec6d7090aa
ICCROM Fellowship Applications 2027,visiting fellowship,Fellowship,ICCROM,气候行动;可持续发展;政策议程;数字转型;复杂危机,可持续发展/气候,中,2026-09-15,2027年开展，3-6个月,"Rome, Italy；可部分线上，需说明理由",https://www.iccrom.org/get-involved/fellowships,https://www.iccrom.org/get-involved/fellowships,面向相关研究提案申请者；具体学历、职业背景与研究主题要求待核查,需自行安排旅行、住宿和个人保险；ICCROM提供办公空间、电脑、网络、文具及文献资源,否,https://www.iccrom.org/get-involved/fellowships,在线申请表；需上传相关数字文件，具体包括研究材料/证明文件待核查,,政策研究;可持续发展;气候;战略研究,,中,长期关注,主题需与气候行动、可持续发展或数字转型挂钩；无经费支持，因此优先级低于全资助项目。,2026-07-10,2026-07-10,20a4e0eeb519682e
Special Issue: The Climate-Mental Health Nexus in Global Governance,CFP,学术论坛/CFP,United Nations University Institute on Comparative Regional Integration Studies,climate governance; global governance; environmental multilateralism; social inclusion; policy research,可持续发展/气候,低,2026-09-28,Special issue submission cycle,Online journal submission,https://unu.edu/cris/news/call-papers-special-issue-climate-mental-health-nexus-global-governance,https://www.frontiersin.org/research-topics/79251/the-climate-mental-health-nexus-in-global-governance,"Researchers submitting articles relevant to climate, mental health and global governance.",Article processing charges need checking on the journal submission page.,Needs checking,Needs checking,Full manuscript prepared according to the journal research topic guidelines.,,Policy research,Mental health is not a core priority topic unless framed through climate governance and multilateral policy.,中,新发现,"Keep only if the paper can be framed around climate governance, environmental multilateralism or inclusive global governance.",2026-07-10,2026-07-10,ab60168d1cb06293
2026 Annual Global Development Finance Conference,CFP/学术年会,学术论坛/CFP,"Chartered Institute of Development Finance / Development Finance Centre, UCT GSB / Africagrowth Institute",development finance; sustainable finance; financing for growth; DFIs; blended finance,可持续发展/气候,高,2026-09-30,2026-11-17至2026-11-18,"Cape Town, South Africa",https://www.globalcidef.com/event/2026-annual-global-development-finance-conference,https://www.africagrowth.com/mdevf_emailer/mdevf_mailer_2026.html,面向发展金融和可持续金融领域从业者、学者和研究生；摘要/论文投稿要求见官网,non-presenter 250美元起；academic presenter 300美元；具体以官网为准,待核查,待核查,摘要或论文；注册表；其他待核查,,发展融资/政策研究/战略研究,,中高,新发现,发展融资主题非常匹配，摘要截止仍开放，适合论文或政策研究展示。,2026-07-10,2026-07-10,1056802467b99ce0
Call for Papers: Towards a Global South-driven Future for Development Studies,CFP,学术论坛/CFP,Development Studies Association and partner universities,development studies; Global South; early career researchers; Asia; Africa; funded workshop,发展/不平等,高,2026-09-30,April 2027,"Bandung, Indonesia",https://www.devstud.org.uk/2026/06/09/call-for-papers-towards-a-global-south-driven-future-for-development-studies,https://www.devstud.org.uk/2026/06/09/call-for-papers-towards-a-global-south-driven-future-for-development-studies,Early career researchers based in Asia and Africa working on development broadly conceived.,Needs checking,Yes,https://www.devstud.org.uk/2026/06/09/call-for-papers-towards-a-global-south-driven-future-for-development-studies,"Extended abstract of 750 to 1000 words, short two page CV, and writing sample.",,Policy research,,高,值得申请,"Strong fit for development studies, early career publication building, and Global South research networks, with travel expenses linked to workshop participation.",2026-07-10,2026-07-10,506bba146b868e00
World Bank Group Young Professionals Program 2026-2027,其他,青年项目,World Bank Group,国际发展;发展金融;世界银行;早期职业;多边开发银行,可持续发展/气候,高,2026-09-30,2027-09 入职；面试与评估为2026-12至2027-01,"World Bank Group 全球办公室；新 cohort 从 Washington, DC 开始",https://www.worldbank.org/ext/en/careers/talent-programs/young-professionals-program,https://www.worldbank.org/ext/en/careers/talent-programs/young-professionals-program,World Bank Group成员国国籍；本科后至少2年全职工作经验；2027-09-01前完成相关硕士或以上学历；英语优秀；无年龄限制但面向2-6年相关经验的early-career professionals,无申请费信息；待核查,不适用,待核查,CV/resume、护照照片页、学历证明/成绩单或在读证明,,政策研究;发展融资;战略研究;可持续发展,,高,长期关注,9月1日开放、9月30日截止，是世界银行系统早期职业核心通道，需提前准备材料。,2026-07-10,2026-07-10,c31b0004c3cb7429
2026 Annual Meetings of the IMF and World Bank Group,国际组织年会,会议,International Monetary Fund / World Bank Group,Annual Meetings; international finance; development; poverty reduction; global economic governance,国际金融/债务,高,2026-10-02,2026-10-12至2026-10-18,"Bangkok, Thailand",https://www.worldbank.org/en/meetings/splash/annual/overview,https://www.worldbank.org/en/meetings/splash/annual/registration,Guest类别包括私营部门、学界/学生等；CSO和Parliamentarian按相应类别申请；学界/学生需提交身份和学术兴趣证明,待核查,待核查,待核查,注册申请信息；学界/学生类别通常需院系或大学证明信；签证/入境材料视情况准备,,发展融资/政策研究/战略研究,,中高,新发现,国际金融与发展治理核心年会，适合关注债务、发展融资、IMF/WBG治理议题者。,2026-07-10,2026-07-10,3ec308e4962dca2c
DebtCon9 — 9th Interdisciplinary Sovereign Debt Research and Management Conference,CFP,学术论坛/CFP,Sovereign Debt Forum / University of Vienna / Central European University Department of Legal Studies,sovereign debt; debt restructuring; climate-resilient debt instruments; green bonds; AI and sovereign credit governance; development finance,可持续发展/气候,高,2026-10-31,2027-05-24至2027-05-26,"Vienna, Austria",https://www.publicdebtnet.org/pdm/events-archive/index.html?month=January&searchmode=years&year=2026,https://www.conftool.org/debtcon9,面向主权债务、债务管理、国际金融、发展融资等领域学者、政策人员、实践者和民间社会；具体摘要格式与参会要求待核查,待核查,待核查,待核查,摘要或论文提案；作者信息；具体格式待核查,,发展融资,,高,新发现,主权债务、气候韧性债务工具、债务重组和 AI 信用治理高度贴合国际金融/债务主线。,2026-07-10,2026-07-10,89ade1fe979330ab
INTERNSHIP: Education Sector,internship,Internship,UNESCO,UNESCO; education policy; sustainable development; SDG 4; programme support,可持续发展/气候,低,2026-12-31,1 to 6 months,Multiple locations,https://careers.unesco.org/job/Multiple-INTERNSHIP-Education-Sector/1347773857,https://careers.unesco.org/job/Multiple-INTERNSHIP-Education-Sector/1347773857,"Applicants must be at least 20 years old and be enrolled in an eligible undergraduate final stage, master's, PhD, or equivalent programme, or have completed a degree within the last 12 months; excellent English or French is required.","No application fee; UNESCO internships are unpaid and interns arrange travel, visa, and medical insurance.",No,https://careers.unesco.org/content/Internship-Programme/?locale=en_GB,"Online application responses; before the internship, proof of identity, certificate of enrollment, transcript, or diploma may be required.",Internship,Programme support,Specialized role barrier: medical,中,新发现,"Useful for SDG and education policy exposure, though less directly focused on climate finance or global governance than the Governing Bodies Secretariat internship.",2026-07-10,2026-07-10,3fc9240fec6c6bfb
INTERNSHIP: Governing Bodies Secretariat,internship,Internship,UNESCO,UNESCO; governance; governing bodies; international organizations; reporting; research,国际关系/政治学,低,2026-12-31,1 to 6 months,"UNESCO Headquarters, field offices, and institutes",https://careers.unesco.org/job/Multiple-INTERNSHIP-Governing-Bodies-Secretariat/1347787357,https://careers.unesco.org/job/Multiple-INTERNSHIP-Governing-Bodies-Secretariat/1347787357,"Applicants must be at least 20 years old and be enrolled in an eligible undergraduate final stage, master's, PhD, or equivalent programme, or have completed a degree within the last 12 months; excellent English or French is required.","No application fee; UNESCO internships are unpaid and interns arrange travel, visa, and medical insurance.",No,https://careers.unesco.org/content/Internship-Programme/?locale=en_GB,"Online application responses; before the internship, proof of identity, certificate of enrollment, transcript, or diploma may be required.",Internship,Governance,Specialized role barrier: medical,高,值得申请,"Excellent fit for learning UN governance, Executive Board processes, analytical notes, reporting, and international organization procedures.",2026-07-10,2026-07-10,45349deda1fa3498
INTERNSHIP: Office of the Director-General,internship,Internship,UNESCO,UNESCO; international organization management; 2030 Agenda; policy notes; speechwriting,全球治理/国际组织,低,2026-12-31,1 to 6 months,UNESCO Headquarters,https://careers.unesco.org/job/Multiple-INTERNSHIP-Office-of-the-Director-General/1348534057,https://careers.unesco.org/job/Multiple-INTERNSHIP-Office-of-the-Director-General/1348534057,"At least 20 years old; currently in final undergraduate year, enrolled in a second degree, or graduated within the last 12 months; excellent English or French required.","No application fee; interns arrange visa, travel and medical insurance.",No,https://careers.unesco.org/job/Multiple-INTERNSHIP-Office-of-the-Director-General/1348534057,"CV, application questions, proof of identity, certificate of enrollment, transcript or diploma if selected.",Internship,Strategy,Specialized role barrier: medical,高,值得申请,"Very strong fit for international organization operations, strategic decision support and policy writing.",2026-07-10,2026-07-10,6f5bfa2bfe5c768b
INTERNSHIP: Priority Africa and External Relations,internship,Internship,UNESCO,Priority Africa; external relations; UN system; intergovernmental organizations; partnerships; global policy,全球治理/国际组织,低,2026-12-31,1-6个月实习，具体起止时间由 placement 决定,"UNESCO Headquarters, Field Offices, and Institutes",https://careers.unesco.org/job/Multiple-INTERNSHIP-Priority-Africa-and-External-Relations/1348535957,https://careers.unesco.org/job/Multiple-INTERNSHIP-Priority-Africa-and-External-Relations/1348535957,至少20岁；本科三年级/最后一年在读，或硕士/博士在读，或本科/硕士/博士毕业后不超过12个月；英语或法语优秀；需具备办公软件能力,UNESCO does not remunerate interns；差旅、签证、住宿、保险等由申请人承担,否,https://careers.unesco.org/job/Multiple-INTERNSHIP-Priority-Africa-and-External-Relations/1348535957,申请表；身份文件；在读证明、成绩单或毕业证明；非英/法文件需提供非正式英/法译本；其他材料待核查,Internship,伙伴关系,Specialized role barrier: it,中高,值得申请,侧重成员国、UN系统、政府间组织和外部关系协调，适合积累多边合作与国际组织伙伴关系经验。,2026-07-10,2026-07-10,d0f015a0cbc104c9
INTERNSHIP: Sciences,internship,Internship,UNESCO,sustainable development; climate resilience; AI ethics; science policy; public policy; international cooperation,AI治理,低,2026-12-31,1-6个月实习，具体起止时间由 placement 决定,"UNESCO Headquarters, Field Offices, and Institutes",https://careers.unesco.org/job/Multiple-INTERNSHIP-Sciences/1348537457,https://careers.unesco.org/job/Multiple-INTERNSHIP-Sciences/1348537457,至少20岁；本科三年级/最后一年在读，或硕士/博士在读，或本科/硕士/博士毕业后不超过12个月；英语或法语优秀；需具备办公软件能力,UNESCO does not remunerate interns；申请费待核查但通常无申请费；差旅、签证、住宿、保险等由申请人承担,否,https://careers.unesco.org/job/Multiple-INTERNSHIP-Sciences/1348537457,申请表；身份文件；在读证明、成绩单或毕业证明；非英/法文件需提供非正式英/法译本；其他材料待核查,Internship,AI或数字治理,Specialized role barrier: it,高,值得申请,覆盖 AI伦理治理、科技创新政策、气候韧性、可持续发展和国际组织政策制定，匹配度很高。,2026-07-10,2026-07-10,ee239d0d312631ab
UNESCO Internship: Communication and Information Sector,internship,Internship,UNESCO,digital transformation; access to information; media development; innovation for sustainable development; communication and information,AI治理,低,2026-12-31,1-6个月，具体起止时间待核查,UNESCO Headquarters、Field Offices或Institutes,https://careers.unesco.org/job/Multiple-INTERNSHIP-Communication-and-Information-Sector/1347542457,https://careers.unesco.org/job/Multiple-INTERNSHIP-Communication-and-Information-Sector/1347542457,UNESCO internship通常面向符合其学历与语言要求的学生或近期毕业生；该岗位具体条件需在申请系统核查,待核查,待核查,待核查,待核查,Internship,AI或数字治理/传播倡导/项目支持/伙伴关系,Specialized role barrier: it,高,值得申请,重点覆盖知识社会、信息获取、媒体发展和包容性数字转型，较匹配数字治理与可持续发展方向。,2026-07-10,2026-07-10,f00ee6a4e8f52d51
UNESCO Internship: Communications and Public Engagement,internship,Internship,UNESCO,传播倡导;联合国系统;可持续发展;公共参与;数字传播,可持续发展/气候,低,2026-12-31,1-6个月实习，具体开始日期待核查,"UNESCO Headquarters, Field Offices, and Institutes",https://careers.unesco.org/job/Multiple-INTERNSHIP-Communications-and-Public-Engagement/1347728357,https://careers.unesco.org/job/Multiple-INTERNSHIP-Communications-and-Public-Engagement/1347728357,至少20岁；本科三年级/最后一年在读，或硕博在读，或本科/硕博毕业12个月内；需英语或法语优秀；具体以页面为准,UNESCO 不向实习生支付报酬；需自行承担旅行、签证、保险等费用,否,https://careers.unesco.org/content/Internship-Programme/?locale=en_GB,CV/resume、motivation letter；实习开始前需身份证明/在读证明/毕业证明等,Internship,传播倡导;项目支持;伙伴关系,Specialized role barrier: it,中,新发现,适合希望补强国际组织传播、公共参与与可持续发展叙事经验的人。,2026-07-10,2026-07-10,4530f50c33765347
Political Affairs Intern: Information Analysis and Data Visualisation,internship,Internship,United Nations Department of Political and Peacebuilding Affairs / Department of Peace Operations,political affairs; peace and security; data visualisation; international organizations; global governance,国际关系/政治学,低,2027-05-06,待核查,New York优先，可远程或混合,https://careers.un.org/jobSearchDescription/276487?language=en,https://careers.un.org/jobSearchDescription/276487?language=en,UN internship通常要求在读本科最后一年、在读研究生或毕业一年内；该岗位具体资格需在页面内核查,No Fee,待核查,待核查,UN Careers个人资料、学历/在读信息、动机说明等，具体以系统要求为准,Internship,政策研究/治理/战略研究,Specialized role barrier: it,高,值得申请,UN Careers单独检索所得，政治事务与信息分析方向高度匹配；需在 UN Careers 站内以 Internship 过滤核查最新状态。,2026-07-10,2026-07-10,8ed31fdd4deb399f
Global Environment Facility Internship Program,internship,Internship,Global Environment Facility,climate finance; global environment; multilateral funds; research; policy support,可持续发展/气候,低,Needs checking,3 to 6 months,"Washington, DC; remote possibility case by case",https://www.thegef.org/careers,https://www.thegef.org/careers,Undergraduate degree and enrolled or planning to enroll in a graduate programme relevant to GEF work; English fluency required.,"Applicants arrange accommodation, travel and medical insurance.",Yes,https://www.thegef.org/careers,Statement of interest and CV for corresponding opportunities when listed.,Internship,Climate,Specialized role barrier: medical,中,长期关注,Important climate fund internship channel; monitor for specific listed openings before applying.,2026-07-10,2026-07-10,9a25f32280276b79
Green Climate Fund Internship Programme,internship,Internship,Green Climate Fund,climate finance; climate fund; internship; sustainable development; multilateral finance,可持续发展/气候,高,Needs checking,Typical cohort starts around July; exact 2027 cycle needs checking,"Songdo, Republic of Korea",https://www.greenclimate.fund/about/careers/internship-programme,https://www.greenclimate.fund/about/careers/apply,"Applicants should be enrolled in a master's or PhD programme prior to the internship assignment or be recent graduates, study a field directly related to GCF work, and have excellent English.",No application fee indicated.,Yes,https://www.greenclimate.fund/about/careers/internship-programme,CV and online application profile; exact role specific materials need checking in the GCF Careers Portal.,Internship,Climate,,中,长期关注,High strategic fit for climate finance and multilateral climate funds; monitor the Careers Portal because the cohort call typically opens around December to early January.,2026-07-10,2026-07-10,09b77595afcdb1b5
"Internship, Global Governance, Fall 2026",internship,Internship,Council on Foreign Relations,think tank; global governance; international institutions; UN Secretary General selection; research,发展/不平等,低,Needs checking,Fall 2026,Needs checking,https://assets.cfr.org/GlobalGovernanceFall2026JD_prb28g.pdf,Needs checking,"Graduate student majoring in international relations, global governance, public policy, or a related field; applicants should have completed the equivalent of four semesters of college coursework.",No application fee indicated; internship is described as funded.,Yes,https://assets.cfr.org/GlobalGovernanceFall2026JD_prb28g.pdf,Needs checking,Internship,Policy research,Includes U.S. foreign policy and great power competition framing; review assignment topics carefully before applying.,中,待核查,"Good global governance research fit, especially for international institutions, but not the safest neutral development policy option.",2026-07-10,2026-07-10,930fa7735efd70c6
13th OECD Forum on Green Finance and Investment,国际组织年会/论坛,会议,OECD,green finance; climate finance; clean energy finance; investment mobilisation; sustainable development,可持续发展/气候,高,待核查,2026-10-07至2026-10-08,"OECD Conference Centre, Paris；线上/直播待核查",https://www.oecd-events.org/e/oecd-forum-on-green-finance-and-investment-2026/content/agenda,https://www.oecd-events.org/e/oecd-forum-on-green-finance-and-investment-2026/content/practical-information,线下参与需提前注册；其他条件待核查,待核查,待核查,待核查,注册信息、身份证件或护照、确认邮件；其他材料待核查,,气候/发展融资/政策研究,,中高,新发现,聚焦绿色金融、清洁能源融资和投资动员，适合跟踪气候融资与国际金融政策。,2026-07-10,2026-07-10,fe9686e6d63fc264
2026 Global Conference of the International Decade of Sciences for Sustainable Development,国际组织年会/论坛,会议,UNESCO / UN system partners,science for sustainable development; SDGs; UN; UNESCO; sustainable development,可持续发展/气候,中,待核查,2026-07-15至2026-07-17,"UNESCO Headquarters, Paris",https://indico.un.org/event/1021402/registrations,https://indico.un.org/event/1021402/registrations,待核查,待核查,待核查,待核查,Indico.UN注册信息；其他待核查,,可持续发展/政策研究/战略研究,,中,新发现,UNESCO总部近期可持续发展科学会议，适合拓展SDGs和国际组织会议经历。,2026-07-10,2026-07-10,3123101827e11805
2026 Global Internship Program,internship,Internship,Asian Infrastructure Investment Bank,development finance; infrastructure finance; sustainability; multilateral development bank; international development,可持续发展/气候,低,待核查,2026年项目，具体实习期按岗位确定,待核查,https://www.aiib.org/en/opportunities/career/job-vacancies/internship/index.html,https://www.aiib.org/en/opportunities/career/job-vacancies/internship/index.html,面向有志于国际发展和基础设施投资的申请人；具体学历、专业、国籍和岗位要求待核查,待核查,待核查,待核查,CV、申请表、学历/在读证明等待核查,Internship,发展融资,Specialized role barrier: it,中高,待核查,MDB 实习入口，主题直连基础设施融资、可持续投资和国际发展；需进入 AIIB 岗位系统确认当前具体岗位和截止日期。,2026-07-10,2026-07-10,b03d31000d456587
Global Sustainable Finance Conference & Awards 2026,国际组织年会/论坛,会议,ADFIMI / Global Sustainable Finance Conference,sustainable finance; development finance; climate finance; investment; development financial institutions,可持续发展/气候,中,待核查,2026-08-27至2026-08-28,"Karlsruhe, Germany",https://www.adfimi.org/en/global-sustainable-finance-conference-awards-2026-2728-august-2026-karlsruhe-germany,待核查,面向发展金融机构、商业银行、央行、监管者、产业界和投资生态相关人员；是否开放个人报名待核查,待核查,待核查,待核查,报名信息、机构/个人资料等待核查,,发展融资,,中,待核查,聚焦发展金融机构如何扩大可持续投资规模，适合跟踪国际金融和气候融资网络，但个人参与门槛需核查。,2026-07-10,2026-07-10,d3d0a0ab5e270964
UNIDO Internship Programme,internship,Internship,United Nations Industrial Development Organization,inclusive and sustainable industrial development; international cooperation; development; SDGs,可持续发展/气候,低,待核查,3-6个月，受资助实习最长可至12个月,Vienna总部及全球外地办公室，具体以岗位为准,https://careers.unido.org/content/Internship/?locale=en_US,https://careers.unido.org/go/Internship-Programe/8954055,本科最后一年在读、硕士或以上在读，或本科/硕士毕业12个月内；须来自UNIDO成员国；工作地点工作语言流利,无申请费信息待核查；差旅、签证、住宿、保险和个人费用由实习生承担,是,https://careers.unido.org/content/Internship/?locale=en_US,具体岗位要求待核查,Internship,可持续发展/项目支持/战略研究,Specialized role barrier: it,中,长期关注,官网明确说明UNIDO为付费实习项目，但当前具体开放岗位需定期在UNIDO Careers内核查。,2026-07-10,2026-07-10,2e919d3012cd59a6
OECD Internship Programme,internship,Internship,Organisation for Economic Co-operation and Development (OECD),AI政策;气候变化;发展;数字治理;经济政策;金融投资;公共治理,AI治理,高,滚动申请，全年开放,实习通常至少1个月，具体起止日期待核查,In-person / Hybrid / Remote，视团队需要而定,https://www.oecd.org/en/about/careers/internships.html,https://www.oecd.org/en/about/careers/internships.html,实习期间须在完全认可的学位项目中注册，包括本科、硕士或博士；需具备与OECD工作相关的学科背景；语言要求以官网为准,待核查,待核查,https://www.oecd.org/en/about/careers/internships/frequently-asked-questions.html,在线申请、cover letter/Message to Hiring Manager、CV等；具体以OECD申请系统为准,Internship,政策研究;AI或数字治理;气候;发展融资;治理,,高,值得申请,全年滚动，政策方向覆盖AI、气候、发展、金融和治理，建议长期保持有效申请。,2026-07-10,2026-07-10,101e42236fd3c9b1
